MLS Number,Property Type,Status,Street Number,Street Name,Unit Number,City/Location,Zip Code,County,List Price,Close Price,Close Date,Area,Subdivision,Master Planned Community,Market Area,School District,School Elementary,School Middle,School High,Building SqFt,Price Sq Ft List,Price Sq Ft Sold,Lot Size,Acres,Price Acre List,Price Acre Sales,Year Built,Bedrooms,Baths Full,Baths Half,Baths Total,Room Count,Fireplaces Number,Stories,New Construction,New Construction Desc,Pool Private,No Of Garage Cap,Style,DOM,CDOM,List Office MLSID,List Office Name,List Agent MLSID,List Agent Full Name,Selling Office MLSID,Selling Office Name,Selling Agent MLSID,Selling Agent Full Name,Realist Owner Name,Last Change Timestamp,List Date 
61683194,Single-Family,Sold,4711,Holly,,Bellaire,77401,Harris,$1399900,$1190000,01/15/2010 12:00:00 AM,17,Bellaire Oaks,,Bellaire Area,27 - Houston,LOVETT ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,5254,$266.44,$226.49,9100,,,,2008,4,3,1,3.1,14,1,2,False,,True,2,Mediterranean,298,601,PBME01,Realty Associates,thuyson,Janet Thuy Bui,TRNR01,Martha Turner Sotheby's International Realty,PALTER,Philip Alter,,,03/17/2009 12:00:00 AM
5147544,Single-Family,Sold,11717,Spriggs,,Hedwig Village,77024,Harris,$1295000,$1170000,01/12/2010 12:00:00 AM,23,HEDWIG VILLAGE,,Memorial Villages,49 - Spring Branch,BUNKER HILL ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),5500,$235.45,$212.73,11770,,,,2009,5,4,3,4.3,14,1,2,True,To Be Built/Under Construction,False,2,Traditional,315,617,RXME01,Village Property Advisors,JCBREED,J. Carter Breed,TRNR01,Martha Turner Sotheby's International Realty,dianek,Diane Kingshill,,,02/04/2009 12:00:00 AM
25886958,Single-Family,Sold,3107,Amherst,,West University Place,77005,Harris,$1175000,$1124000,01/11/2010 12:00:00 AM,17,RICE COURT,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),4590,$255.99,$244.88,6250,,,,2006,4,4,1,4.1,11,1,2,False,,True,2,Traditional,170,771,TRNR01,Martha Turner Sotheby's International Realty,CLARE,Clare Leppert,GKPI03,Greenwood King Properties,njo,NancyJane McMillan,,,06/08/2009 12:00:00 AM
80758615,Single-Family,Sold,6131,Meadow Lake,,Houston,77057,Harris,$1080000,$1040000,01/05/2010 12:00:00 AM,22,BRIARGROVE,,Briargrove,27 - Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,4159,$259.68,$250.06,7454,,,,2008,4,4,1,4.1,13,1,2,False,,False,2,Traditional,193,527,TRNR01,Martha Turner Sotheby's International Realty,GIMAMMA,Jana Giammalva,DGTY01,"John Daugherty, REALTORS",LINNEESE,Lin Neese,,,05/28/2009 12:00:00 AM
8646428,Single-Family,Sold,4823,Willow,,Bellaire,77401,Harris,$1070000,$1030000,01/28/2010 12:00:00 AM,17,BELLAIRE,,Bellaire Area,27 - Houston,CONDIT ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,4883,$219.13,$210.94,8700,,,,1995,4,5,0,5,12,1,2,False,,True,2,"French, Georgian",27,27,GKPI01,Greenwood King Properties,lkaplan,Lee Kaplan,KWPT01,Keller Williams Realty,jmholmes,Judith Holmes,,,11/09/2009 12:00:00 AM
24508970,Single-Family,Sold,6230,Woods Bridge,,Houston,77007,Harris,$1099900,$955360,01/28/2010 12:00:00 AM,16,Arlington Court,,Memorial Park,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),LAMAR HIGH SCHOOL (HOUSTON),3687,$298.32,$259.12,8696,,,,1994,3,3,1,3.1,11,1,2,False,,False,2,Traditional,127,127,BICE01,BICE & Associates,BICEPAUL,Paul Bice,TRNR01,Martha Turner Sotheby's International Realty,LEACH,Charlotte Leach,,,07/30/2009 12:00:00 AM
98913440,Single-Family,Sold,515,Fall River,,Houston,77024,Harris,$1024000,$925000,01/28/2010 12:00:00 AM,23,LONGWOODS,,Memorial Close In,49 - Spring Branch,HUNTERS CREEK ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),4325,$236.76,$213.87,26808,,,,1954,4,3,1,3.1,12,2,1,False,,False,2,Ranch,279,279,DGTY01,"John Daugherty, REALTORS",Sweeney,Laura Sweeney,GTXM01,"Gulf-Tex Management, Inc",ICKESL,Linda Ickes,,,03/17/2009 12:00:00 AM
15367739,Single-Family,Sold,1807,Albans,,Houston,77005,Harris,$950000,$920000,01/27/2010 12:00:00 AM,17,SOUTHAMPTON PLACE,,Rice/Museum District,27 - Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3300,$287.88,$278.79,6600,,,,1930,2,3,1,3.1,10,1,2,False,,False,2,Traditional,37,37,DGTY01,"John Daugherty, REALTORS",WETMORE,Kathleen Wetmore,TRNR01,Martha Turner Sotheby's International Realty,LANCEC,Carol Lance,,,11/10/2009 12:00:00 AM
72071354,Single-Family,Sold,4510,Elm,,Bellaire,77401,Harris,$984000,$920000,01/28/2010 12:00:00 AM,17,WHEELER,,Bellaire Area,27 - Houston,HORN ELEMENTARY SCHOOL (HOUSTON),PERSHING MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,5184,$189.81,$177.47,8100,,,,2004,5,5,1,5.1,12,1,2,False,,True,2,Traditional,195,195,DGTY01,"John Daugherty, REALTORS",LISAK,Lisa Kornhauser,COLD25,"Coldwell Banker United, REALTORS",TAPPY,Kathleen Sandy,,,05/21/2009 12:00:00 AM
1703714,Single-Family,Sold,414,Wilcrest,,Houston,77079,Harris,$915000,$866000,01/05/2010 12:00:00 AM,23,WILCHESTER 1,,Memorial West,49 - Spring Branch,RUMMEL CREEK ELEMENTARY SCHOOL,MEMORIAL MIDDLE SCHOOL (SPRING BRANCH),STRATFORD HIGH SCHOOL (SPRING BRANCH),4342,$210.73,$199.45,10749,,,,2009,4,4,1,4.1,2,1,2,True,To Be Built/Under Construction,False,2,Traditional,229,229,WOLF01,"Beth Wolff, REALTORS",BLANKENA,Ann Blankenship,AYER01,Ayers & Associates Realtors,AYERSDG,Diana Ayers,,,04/29/2009 12:00:00 AM
51993484,Single-Family,Sold,6311,Sewanee,,Houston,77005,Harris,$890000,$862500,01/29/2010 12:00:00 AM,17,WEST UNIVERSITY PL 1,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3318,$268.23,$259.95,5000,,,,2000,4,3,1,3.1,12,1,2,False,,False,2,Traditional,5,5,SUAN02,Berkshire Hathaway HomeService Anderson Properties,EGamble,Beth Gamble,GKPI01,Greenwood King Properties,DUMAY,Mary Frances DuMay,,,11/24/2009 12:00:00 AM
10883374,Single-Family,Sold,5210,Calle Cordoba,,Houston,77007,Harris,$849000,$849000,01/29/2010 12:00:00 AM,16,Caceres,,Rice Military/Washington Corridor,27 - Houston,MEMORIAL ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2947,$288.09,$288.09,,,,,2009,3,3,1,3.1,7,,5,True,To Be Built/Under Construction,False,2,Spanish,7,7,CMLC01,Caceres Marketing LLC,bsball,Bonner Ball,SEED01,"Mustard Seed, Realtors",JAYLMAC,Jay Mac Sanders,,,08/06/2009 12:00:00 AM
6175683,Single-Family,Sold,11823,Legend,,Houston,77082,Harris,$885000,$840000,01/06/2010 12:00:00 AM,31,Royal Oaks Country Club,,Westchase Area,2 - Alief,OUTLEY ELEMENTARY SCHOOL,O'DONNELL MIDDLE SCHOOL,OTHER,4185,$211.47,$200.72,12559,,,,2003,4,4,1,4.1,12,1,2,False,,True,3,"Mediterranean, Traditional",374,374,BERK03,Berkshire Hathaway HomeService,BRANDEY,Brandey Heckeroth,TRNR01,Martha Turner Sotheby's International Realty,EFHEYNE,Erik Heyne,,,11/26/2008 12:00:00 AM
16252457,Single-Family,Sold,8,Memorial Point,,Piney Point Village,77024,Harris,$899000,$835000,01/27/2010 12:00:00 AM,23,MEMORIAL POINT PT & RP,,Memorial Villages,49 - Spring Branch,MEMORIAL DRIVE ELEMENTARY SCHOOL,SPRING BRANCH MIDDLE SCHOOL (SPRING BRANCH),MEMORIAL HIGH SCHOOL (SPRING BRANCH),4307,$208.73,$193.87,41450,,,,1974,4,4,1,4.1,12,1,1.5,False,,True,3,"Contemporary/Modern, French",209,595,GKPI02,Greenwood King Properties,LUNDM,Mary Lund,DGTY01,"John Daugherty, REALTORS",pherrin,Paige Herrin,,,05/09/2009 12:00:00 AM
5099704,Single-Family,Sold,1904,Albans,,Houston,77005,Harris,$849900,$805000,01/26/2010 12:00:00 AM,17,SOUTHAMPTON PLACE,,Rice/Museum District,27 - Houston,POE ELEMENTARY SCHOOL,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3072,$276.66,$262.04,6600,,,,1917,3,3,1,3.1,10,1,2,False,,True,1,Traditional,53,53,TRNR01,Martha Turner Sotheby's International Realty,ABCD,Cathy Cagle,TRNR01,Martha Turner Sotheby's International Realty,BERINGW,Walter Bering,,,10/30/2009 12:00:00 AM
8448408,Single-Family,Sold,2711,Mid,,Houston,77027,Harris,$829000,$805000,01/19/2010 12:00:00 AM,16,WEST LANE PLACE,,Highland Village/Midlane,27 - Houston,SCHOOL AT ST GEORGE PLACE,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),4918,$168.56,$163.68,5590,,,,2000,4,5,1,5.1,10,2,3,False,,False,2,"French, Traditional",341,341,CARL01,"William Carl, REALTORS",CARLL,Lucy Carl,TRNR01,Martha Turner Sotheby's International Realty,PATTIG,Patricia Garrison,,,02/04/2009 12:00:00 AM
69090478,Single-Family,Sold,4321,Verone,,Bellaire,77401,Harris,$825000,$802000,01/25/2010 12:00:00 AM,17,SOUTHDALE,,Bellaire Area,27 - Houston,HORN ELEMENTARY SCHOOL (HOUSTON),PERSHING MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,3789,$217.74,$211.67,5250,,,,2009,4,3,1,3.1,11,1,2,True,Never Lived In,False,2,French,68,68,KWHM01,Keller Williams Realty Metropolitan,MIKEL,Mike Livingston,nonmls,Non-MLS,nonmls,Non-MLS Agent,,,10/16/2009 12:00:00 AM
78971715,Single-Family,Sold,14314,Belle,,Houston,77077,Harris,$781500,$800834,01/29/2010 12:00:00 AM,31,Lakes of Parkway,,Energy Corridor,27 - Houston,BUSH ELEMENTARY SCHOOL (HOUSTON),WEST BRIAR MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,4610,$169.52,$173.72,8750,,,,2009,5,4,1,4.1,13,1,2,True,To Be Built/Under Construction,False,3,Traditional,0,0,COLD05,"Coldwell Banker United, REALTORS",YOUNGDH,David H. Young,TXRP01,Texas Real Estate Pros.,SMILE,Amy Eugenia Lai,,,04/10/2009 12:00:00 AM
44246474,Single-Family,Sold,2812,Nottingham,,Houston,77005,Harris,$819000,$800000,01/29/2010 12:00:00 AM,17,MONTICELLO,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3302,$248.03,$242.28,6405,,,,1991,4,4,1,4.1,12,1,2,False,,False,2,Traditional,13,13,GKPI01,Greenwood King Properties,HEIDID,Heidi Dugan,GKPI01,Greenwood King Properties,HEIDID,Heidi Dugan,,,12/11/2009 12:00:00 AM
40966204,Single-Family,Sold,1114,Bayou Island,,Houston,77063,Harris,$825000,$800000,01/12/2010 12:00:00 AM,23,BAYOU ISLAND PARK,,Memorial West,49 - Spring Branch,FROSTWOOD ELEMENTARY SCHOOL,REVERE MIDDLE SCHOOL,WESTSIDE HIGH SCHOOL,4326,$190.71,$184.93,4484,,,,2000,4,4,1,4.1,11,1,2,False,,False,2,Traditional,127,218,GKPI02,Greenwood King Properties,BALLASS,Sharon Ballas,DGTY01,"John Daugherty, REALTORS",LOTZEN,Nancy Lotze,,,08/04/2009 12:00:00 AM
8818499,Single-Family,Sold,718,8th 1/2,,Houston,77007,Harris,$799900,$775000,01/25/2010 12:00:00 AM,9,Houston Heights,,Heights/Greater Heights,27 - Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,4232,$189.01,$183.13,6250,,,,2008,4,3,1,3.1,11,2,2,True,Never Lived In,False,2,Traditional,481,481,KWHM01,Keller Williams Realty Metropolitan,MXP,Margot Perez,KWHM02,Keller Williams Realty,MXP,Margot Perez,,,08/19/2008 12:00:00 AM
52846059,Single-Family,Sold,6707,Augusta Pines,,Spring,77389,Harris,$799000,$770500,01/15/2010 12:00:00 AM,14,Augusta Pines,,Spring/Klein,32 - Klein,METZLER ELEMENTARY SCHOOL,HILDEBRANDT INTERMEDIATE SCHOOL,KLEIN OAK HIGH SCHOOL,4817,$165.87,$159.95,21684,,,,2004,4,4,1,4.1,13,1,2,False,,True,3,Traditional,110,110,GGPR08,BHGRE Gary Greene,NKERN,Naomi Kern,RMXB03,RE/MAX The Woodlands & Spring,JACCI,Jacci Kilgore,,,08/27/2009 12:00:00 AM
12295068,Single-Family,Sold,4918,Bellaire Bl,,Bellaire,77401,Harris,$799900,$761250,01/27/2010 12:00:00 AM,17,BELLAIRE R/P,,Bellaire Area,27 - Houston,CONDIT ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,BELLAIRE HIGH SCHOOL,4614,$173.36,$164.99,13125,,,,2006,4,3,1,3.1,10,1,2,False,,False,3,French,76,131,KWSW01,Keller Williams Realty -SW,SIMA,Sima Dalvandi,LBAR01,Lisa Barnes Properties,barnes,Lisa Barnes,,,10/08/2009 12:00:00 AM
56255043,Single-Family,Sold,19026,Windsor Lakes,,Houston,77094,Harris,$768900,$757000,01/14/2010 12:00:00 AM,36,WINDSOR PARK LAKES,,Katy - Southeast,30 - Katy,PATTISON ELEMENTARY SCHOOL,MCMEANS JUNIOR HIGH SCHOOL,TAYLOR HIGH SCHOOL (KATY),4354,$176.60,$173.86,10140,,,,1998,5,3,1,3.1,14,1,2,False,,True,3,Mediterranean,54,302,GGPR06,BHGRE Gary Greene,DEVERD,Darla Dever,RMXP01,"RE/MAX Westside, REALTORS",REEDY,Cara Reedy,,,11/02/2009 12:00:00 AM
49704974,Single-Family,Sold,3822,Tennyson,,West University Place,77005,Harris,$799000,$750000,01/05/2010 12:00:00 AM,17,COLLEGEVIEW,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3315,$241.03,$226.24,5000,,,,1998,4,3,1,3.1,11,,2,False,,False,2,Traditional,28,28,DGTY01,"John Daugherty, REALTORS",LINNEESE,Lin Neese,DLTA01,Delta Realty Group,ejou,Earl Jou,,,11/03/2009 12:00:00 AM
47166324,Single-Family,Sold,12,Island Green,,Kingwood,77339,Harris,$799000,$750000,01/15/2010 12:00:00 AM,32,KINGWOOD GREENS VILLAGE SEC,Kingwood,Kingwood West,29 - Humble,GREENTREE ELEMENTARY SCHOOL,CREEKWOOD MIDDLE SCHOOL,KINGWOOD HIGH SCHOOL,4546,$175.76,$164.98,21344,,,,2000,4,3,1,3.1,12,1,2,False,,True,3,Traditional,102,102,KWNE01,Keller Williams Realty Northeast,SUSMITH,Susan Smith,KWNE01,Keller Williams Realty Northeast,CCREAGER,Celeste Creager,,,09/03/2009 12:00:00 AM
70513734,Single-Family,Sold,1006,River Glyn,,Hunters Creek Village,77063,Harris,$799000,$749000,01/28/2010 12:00:00 AM,22,RIVERBEND,,Memorial Villages,27 - Houston,BRIARGROVE ELEMENTARY SCHOOL,TANGLEWOOD MIDDLE SCHOOL,WISDOM HIGH SCHOOL,2611,$20.24,$286.86,39478,0.9063,,,1958,3,2,1,2.1,,,1,False,,True,2,"Contemporary/Modern, Ranch",160,160,TRNR01,Martha Turner Sotheby's International Realty,CSORBA,Anne Csorba,LBAR01,Lisa Barnes Properties,ALongo,Angela Longo,,,07/29/2009 12:00:00 AM
64676972,Single-Family,Sold,10,Briar Hollow,95,Houston,77027,Harris,$735000,$698500,01/22/2010 12:00:00 AM,16,RAINTREE PLACE,,Briar Hollow,27 - Houston,SCHOOL AT ST GEORGE PLACE,LANIER MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3367,$218.30,$207.45,4500,,,,1982,3,3,2,3.2,10,,2,False,,False,2,Traditional,22,22,TRNR01,Martha Turner Sotheby's International Realty,VINEYARD,Peggy Vineyard,TRNR01,Martha Turner Sotheby's International Realty,BLANDR,Robert Bland,,,12/01/2009 12:00:00 AM
44777184,Single-Family,Sold,522,Park Trail,,Houston,77007,Harris,$725000,$695000,01/19/2010 12:00:00 AM,16,The Park at Memorial Heights,,Rice Military/Washington Corridor,27 - Houston,CROCKETT ELEMENTARY SCHOOL (HOUSTON),HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,4296,$168.76,$161.78,3147,,,,2002,4,4,0,4,13,1,3,False,,False,2,Traditional,224,224,KWHM01,Keller Williams Realty Metropolitan,SUEMARSH,Sue Marsh,KWHM02,Keller Williams Realty,mwassef,Mary Wassef,,,05/13/2009 12:00:00 AM
25547101,Single-Family,Sold,17527,Bremonds,,Cypress,77433,Harris,$809000,$680000,01/04/2010 12:00:00 AM,25,BRIDGELAND,Bridgeland,Cypress South,13 - Cypress-Fairbanks,POPE ELEMENTARY SCHOOL (CYPRESS-FAIRBANKS),SMITH MIDDLE SCHOOL (CYPRESS-FAIRBANKS),CYPRESS RANCH HIGH SCHOOL,5134,$157.58,$132.45,,,,,2007,5,4,1,4.1,13,1,2,True,Never Lived In,False,3,Traditional,221,601,GGPR09,BHGRE Gary Greene,SIGLERD,Darlene Sigler,KWPR01,Keller Williams Professionals,OMUNOZ,Oscar Munoz,,,04/23/2009 12:00:00 AM
90748191,Single-Family,Sold,18906,Camillo,,Houston,77094,Harris,$681065,$667919,01/15/2010 12:00:00 AM,36,Windsor Park Lakes,,Katy - Southeast,30 - Katy,PATTISON ELEMENTARY SCHOOL,MCMEANS JUNIOR HIGH SCHOOL,TAYLOR HIGH SCHOOL (KATY),4611,$147.70,$144.85,,,,,,5,4,1,4.1,14,1,2,True,To Be Built/Under Construction,False,3,Mediterranean,73,73,SHUR01,Legend Home Corporation,SUZYS,Margaret Smith,WNRS01,Winners Realty,PRDES,Pankaj Desai,,,08/09/2009 12:00:00 AM
5905339,Single-Family,Sold,2617,Talbott,,Houston,77005,Harris,$679000,$657500,01/29/2010 12:00:00 AM,17,BELLE COURT,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),2732,$248.54,$240.67,6000,,,,1938,3,2,1,2.1,11,2,2,False,,False,2,Traditional,1,1,GKPI01,Greenwood King Properties,HEIDID,Heidi Dugan,GKPI01,Greenwood King Properties,DUMAY,Mary Frances DuMay,,,01/04/2010 12:00:00 AM
66816325,Single-Family,Sold,3134,Amherst,,Houston,77005,Harris,$670000,$640000,01/29/2010 12:00:00 AM,17,RICE COURT,,West University/Southside Area,27 - Houston,WEST UNIVERSITY ELEMENTARY SCHOOL,PERSHING MIDDLE SCHOOL,LAMAR HIGH SCHOOL (HOUSTON),3150,$212.70,$203.17,5250,,,,1934,4,2,1,2.1,13,,2,False,,False,2,"English, Traditional",118,118,DGTY01,"John Daugherty, REALTORS",DWARNER,Delores Warner,GKPI01,Greenwood King Properties,rowleyc,Carol Rowley,,,08/25/2009 12:00:00 AM
95090418,Single-Family,Sold,921,Oxford,,Houston,77008,Harris,$635000,$635000,01/29/2010 12:00:00 AM,9,TEN TWELVE HEIGHTS BLVD PATI,,Heights/Greater Heights,27 - Houston,HARVARD ELEMENTARY SCHOOL,HOGG MIDDLE SCHOOL (HOUSTON),HEIGHTS HIGH SCHOOL,2700,$235.19,$235.19,5280,,,,2009,4,3,1,3.1,8,1,2,True,To Be Built/Under Construction,False,2,Traditional,13,13,REYN01,The Reyna Realty Group,MKUBALA,Melissa Kubala,BLVD01,Boulevard Realty,CSTEWARD,Cathy Steward,,,08/31/2009 12:00:00 AM
